Timestamp,Discord username (with numbers),Deck (Paste Here),"I have made sure my deck abides to the current banlist and rules of this format, or else I will be disqualified from the tourney"
8/1/2024 22:02:25,BP,"//deck-1
1 Sheosian Lava Behemoth
2 Beast of the Conjurers
2 Bugonk
2 Starship XXS
2 Blaze Elixir
2 Help-O-Belt
1 Sheosian Lava Mole
1 Pelfam
1 Droplet Squoz
2 Wakooman
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
2 Goouk - Tree Of The Nightjungle
2 Hot Pointato
2 Pointphantom
1 K.O. LOC
1 Activation Activated Activator
1 Beast Of The Black Hole
1 For Sale Sign
1 Galaxy Crash
1 Planetary Field
2 Abomination Tomb
1 Relohex Mine

//play-1
1 Gaios
1 Alar's Battle Zone
1 Alar's Creature Zone
1 Alar's Resource Zone

//sideboard-1
2 Spirit of the Anti-Justice Sword
1 Monument to Creation
1 Sheosian Lava Mole
2 Erratic Void
",My deck abides to the rules
8/2/2024 1:09:02,Chronoknight ,"//sideboard-1
1 Shockwave 8
2 Shape Knight Squarn
1 Super Flooper
2 Abandonment

//deck-1
1 Super Bouncy Trampoline
1 Seal of Eternity
1 Chroarok Comet
1 Angry Totem
1 Monument to Creation
1 Soulshroom
1 Relohex Mine
2 Relohex Dagger
1 Galaxy Crash
2 Sheosian Lava Mole
2 Kaleidoscope Warriess
1 Activation Activated Activator
1 Beast Of The Black Hole
1 Planetary Field
2 Face Time
1 Feathammer
1 Help-O-Belt
1 Kah -The Rokahn Moon
2 Blaze Elixir
2 Soulomancer
2 Dark Matter Dustrog
2 Relohex Dustrog
2 Skardian of the Moons
2 Skardian of the Sun

//hand-1
1 Resource Zone DD
1 Creature Zone DD
1 Battle Zone DD
1 Rokah
",My deck abides to the rules
8/2/2024 2:59:51,unseenoddish,"//deck-1
1 Sheosian Lava Behemoth
2 Skelequeen
1 Dark-Spark Diabolus
1 Sheosian Lava Mole
2 Skeleghast
2 Wakooman
1 Kaleidoscope Warriess
2 Zammer Zead
2 Droplet Squoz
2 Bonbeak
1 Orbov
2 Thorngabork
2 Soulshroom
2 Abomination Tomb
1 Forces of Justice
1 Galaxy Crash
2 Time Flash Portal
1 K.O.
1 For Sale Sign
1 Planetary Field
1 Beast Of The Black Hole
1 Relohex Mine
1 Activation Activated Activator
1 Erratic Void

//sideboard-1
2 Shape Knight Squarn
2 Kalamask
1 Erratic Void
1 Abandonment

//hand-1
1 Sindell
1 Battle Zone
1 Creature Zone
1 Resource Zone
",My deck abides to the rules
8/2/2024 4:17:54,nutellla (finnthedemon),"//deck-1
2 Sheosian Lava Behemoth
2 Skardian of the Sun
1 Pelfam
1 Dark-Spark Diabolus
2 Spirit of the Anti-Justice Sword
2 Zammer Zead
2 Skeleghast
1 Orbov
2 Sapling Squoz
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
1 For Sale Sign
2 Moltown the Sheosian Moon
2 Goouk - Tree Of The Nightjungle
2 Soulshroom
1 Galaxy Crash
2 Time Flash Portal
2 Extra Extra Small Rescue
1 Activation Activated Activator
1 Planetary Field
1 Beast Of The Black Hole

//sideboard-1
2 Monument to Creation
2 Super Flooper
2 Avalanche Overlord

//play-1
1 Sheos
",My deck abides to the rules
8/2/2024 8:38:32,Secret27,"//deck-1
2 Super Flooper
1 Pelfam
2 Truent
2 Phycodorus
2 Nawf
2 Voccapeccymacc
2 Sporegazer
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
2 Sapling Squoz
2 The Magical Zamelion Tree
1 Galaxy Crash
1 Time Flash Portal
2 Goouk - Tree Of The Nightjungle
1 For Sale Sign
2 Temple Traps
2 Monument to Creation
1 Beast Of The Black Hole
1 Super Bouncy Trampoline
1 Planetary Field
1 Activation Activated Activator

//play-1
1 Gaios

//sideboard-1
2 Shape Knight Squarn
1 Abandon All Hope
1 K.O.
1 Super Bouncy Trampoline
1 Relohex Mine
",My deck abides to the rules
8/2/2024 10:24:03,Z.k2,"//deck-1
2 Laji of the Blue-Flame Lamp (she)
1 Zammer Zead (pv)
2 Moltown the Sheosian Moon (she)
1 Help-O-Belt (piii)
2 Fire Wall (dsd)
2 Fraxle (kirohh)
2 Zomatle (pv)
1 Relohex Mine (coc)
1 Offerings to Eos (she)
1 Aubade Soldier (she)
1 Beast Of The Black Hole (dsd)
1 K.O. (loc)
2 Magsprout (piv)
2 Time Flash Portal (piv)
2 Scoria Carrier (pv)
1 Activation Activated Activator (gdi)
2 The Undying Blue-Flame (she)
1 Crimson Grenade (pv)
2 Sheosian Lava Mole (gdi)
1 Galaxy Crash (ooc)
1 Planetary Field (dsd)
1 Beast of the Conjurers (pv)
2 Jakrah of the Blue-Flame Jar (she)

//pile-expel
1 Creature Zone (zone)
1 Resource Zone (zone)
1 Battle Zone (zone)

//play-1
1 Sheos (pv)",My deck abides to the rules
